study,scale,guesser,respondent,model_type,component,est,se,t,p
sbmd,PANAS,self,self,without_guess,intercept,13.0,0.8345014659208,15.578163167940787,6.948356365188514e-38
sbmd,PANAS,self,self,without_guess,conditionAC,3.228260869565217,1.328039983983358,2.4308461405524,0.015825931438907294
sbmd,PANAS,self,self,with_guess,intercept,10.950980392156863,0.9257515494743742,11.829286592471426,1.639999669937388e-25
sbmd,PANAS,self,self,with_guess,conditionAC,1.639928698752226,1.6863376534109882,0.972479441133933,0.33183816286937406
sbmd,PANAS,self,self,with_guess,guessAC,7.407993966817493,1.7602392488970091,4.208515388723122,3.692828824426188e-05
sbmd,PANAS,self,self,with_guess,conditionAC:guessAC,-0.4364030577265831,2.627987788678377,-0.1660597737960006,0.8682564287154861
sbmd,mood,self,self,without_guess,intercept,59.04964539007093,1.7236871133012408,34.25775184742076,1.6345391347248547e-92
sbmd,mood,self,self,without_guess,conditionAC,6.4286154794942965,2.7431053147582536,2.3435540170140503,0.019950079078452844
sbmd,mood,self,self,with_guess,intercept,54.892156862745104,1.9313297188984624,28.421950082170824,4.774753682663197e-77
sbmd,mood,self,self,with_guess,conditionAC,4.3578431372549025,3.5180864973753847,1.2386969849962488,0.2167259312458171
sbmd,mood,self,self,with_guess,guessAC,15.030920060331827,3.6722621481935804,4.093095605313928,5.901869056098858e-05
sbmd,mood,self,self,with_guess,conditionAC:guessAC,-3.0934200603318223,5.482584306835445,-0.5642266287588286,0.5731520958643807
sbmd,creativity,self,self,without_guess,intercept,51.09929078014185,1.6018195276358393,31.900779019444478,1.3229801546741548e-86
sbmd,creativity,self,self,without_guess,conditionAC,6.43331791551033,2.5491631431449444,2.5236979958738304,0.012284929103235764
sbmd,creativity,self,self,with_guess,intercept,46.18627450980392,1.7335767456907318,26.642186234103708,4.1964721622176613e-72
sbmd,creativity,self,self,with_guess,conditionAC,4.063725490196077,3.157862109975209,1.286859700858813,0.19944248222472832
sbmd,creativity,self,self,with_guess,guessAC,17.762443438914023,3.2962513867490366,5.388679853217271,1.7602414213471077e-07
sbmd,creativity,self,self,with_guess,conditionAC:guessAC,-3.804110105580691,4.921210794622768,-0.7730028776124174,0.44031781633716116
sbmd,WEMWB,self,self,without_guess,intercept,48.45544554455445,0.796866259055691,60.80750062372514,1.778396304649465e-142
sbmd,WEMWB,self,self,without_guess,conditionAC,1.2320544554455426,1.0658551663970022,1.1559304624945972,0.24892475569589387
sbmd,WEMWB,self,self,with_guess,intercept,45.39999999999999,1.1637173586563414,39.01290950271638,4.143864707790234e-102
sbmd,WEMWB,self,self,with_guess,conditionAC,2.978378378378371,1.7324215472953073,1.7191995695437277,0.08695333423505093
sbmd,WEMWB,self,self,with_guess,guessAC,5.510714285714283,1.5628388042657182,3.5260925635279627,0.0005109668176632257
sbmd,WEMWB,self,self,with_guess,conditionAC:guessAC,-3.669312444312435,2.181556699148968,-1.681969781369352,0.09396201416470003
sbmd,SCS,self,self,without_guess,intercept,31.87128712871287,0.6718248143351222,47.43987785008297,8.54422934807709e-120
sbmd,SCS,self,self,without_guess,conditionAC,-0.0040996287128725805,0.8986049304200148,-0.004562214799952614,0.996363898640988
sbmd,SCS,self,self,with_guess,intercept,30.53333333333333,1.000192309734145,30.52746260511562,5.895547780758768e-82
sbmd,SCS,self,self,with_guess,conditionAC,0.14234234234233512,1.4889824371299047,0.09559705930226269,0.9239256880644036
sbmd,SCS,self,self,with_guess,guessAC,2.4130952380952357,1.3432293862020928,1.7964878247029197,0.07375830506566736
sbmd,SCS,self,self,with_guess,conditionAC:guessAC,-0.7371225621225537,1.8750053159447333,-0.39313091853883614,0.694595020271234
sbmd,CPS,self,self,without_guess,intercept,-0.0351637931034483,0.049128340509058024,-0.7157537327556379,0.47504585205680483
sbmd,CPS,self,self,without_guess,conditionAC,-0.013808037882467202,0.07973035969904968,-0.17318419149978803,0.8626959865255326
sbmd,CPS,self,self,with_guess,intercept,0.0006499999999999676,0.0592889531823405,0.010963256477153878,0.9912647046637844
sbmd,CPS,self,self,with_guess,conditionAC,-0.05623823529411766,0.10856422828123251,-0.5180181002939028,0.6050713398785781
sbmd,CPS,self,self,with_guess,guessAC,-0.11539999999999996,0.10642692804312845,-1.0843120450985417,0.27965292503348926
sbmd,CPS,self,self,with_guess,conditionAC:guessAC,0.12809634340222575,0.16491843992922978,0.77672541322362,0.4383235975097949
sbmd,energy,self,self,without_guess,intercept,52.04255319148936,1.6723799411442901,31.11885757005693,1.3906281640724813e-84
sbmd,energy,self,self,without_guess,conditionAC,11.522664199814985,2.661454198646236,4.329461767809514,2.2279024864612405e-05
sbmd,energy,self,self,with_guess,intercept,47.588235294117645,1.8401870570157173,25.86054233600187,7.058970104854752e-70
sbmd,energy,self,self,with_guess,conditionAC,8.525401069518711,3.352062143808549,2.543330255754839,0.011639469063609183
sbmd,energy,self,self,with_guess,guessAC,16.10407239819004,3.498961989218909,4.602528534979895,6.916607169955389e-06
sbmd,energy,self,self,with_guess,conditionAC:guessAC,-1.8218754284930647,5.223852034022623,-0.3487609175427067,0.7275892480325066
sbmd,focus,self,self,without_guess,intercept,55.432624113475185,1.6338058146782486,33.928526643413704,1.0525617247769481e-91
sbmd,focus,self,self,without_guess,conditionAC,1.3825932778291703,2.600066670419898,0.5317530098587389,0.5954080737266272
sbmd,focus,self,self,with_guess,intercept,52.18627450980392,1.8715250809735209,27.884357543665896,1.4262249350631415e-75
sbmd,focus,self,self,with_guess,conditionAC,0.7909982174688039,3.4091471033892757,0.23202231921362862,0.8167278876380564
sbmd,focus,self,self,with_guess,guessAC,11.736802413273,3.558548624299046,3.298199252675629,0.0011280908147251387
sbmd,focus,self,self,with_guess,conditionAC:guessAC,-4.380741807212393,5.312813207600111,-0.8245616090822907,0.4104785559809915
sbmd,temper,self,self,without_guess,intercept,34.9645390070922,1.8315837212483053,19.089784759204083,2.138896705963893e-49
sbmd,temper,self,self,without_guess,conditionAC,0.24198273203823795,2.9148138321684285,0.08301824609437194,0.9339089250580009
sbmd,temper,self,self,with_guess,intercept,36.30392156862746,2.145472520771375,16.921177604071516,3.27650600130372e-42
sbmd,temper,self,self,with_guess,conditionAC,2.4915329768270977,3.908166395389337,0.6375196766868694,0.5244232864682328
sbmd,temper,self,self,with_guess,guessAC,-4.842383107088986,4.079436799901696,-1.1870224603567028,0.2364486574193284
sbmd,temper,self,self,with_guess,conditionAC:guessAC,-2.0364047716988942,6.090484632441075,-0.334358412276742,0.7384151344618328
sbmd,QIDS,self,self,without_guess,intercept,6.960396039603961,0.43554973421100235,15.980714698891294,5.055890139299309e-39
sbmd,QIDS,self,self,without_guess,conditionAC,-1.2025835396039601,0.5825732099408589,-2.064261656875782,0.04012950188161901
sbmd,QIDS,self,self,with_guess,intercept,7.199999999999999,0.6550132699233788,10.992143717702437,8.893979468187156e-23
sbmd,QIDS,self,self,with_guess,conditionAC,-1.55135135135135,0.9751157307559986,-1.5909407493083934,0.11302691424557786
sbmd,QIDS,self,self,with_guess,guessAC,-0.4321428571428564,0.8796639045817789,-0.4912590534771474,0.623722080974325
sbmd,QIDS,self,self,with_guess,conditionAC:guessAC,0.5856920106920095,1.227917222686031,0.4769800438264285,0.6338392735076941
sbmd,STAIT,self,self,without_guess,intercept,39.86138613861386,1.1524054465184073,34.58972383291071,1.8426447450563355e-92
sbmd,STAIT,self,self,without_guess,conditionAC,-1.6426361386138613,1.54140959665083,-1.065671410235784,0.2877043633147063
sbmd,STAIT,self,self,with_guess,intercept,42.37777777777777,1.719345005002989,24.647628983401212,7.414049546344294e-66
sbmd,STAIT,self,self,with_guess,conditionAC,-3.918318318318313,2.5595822832280692,-1.5308428816660842,0.12721296459713988
sbmd,STAIT,self,self,with_guess,guessAC,-4.538492063492058,2.3090306866623145,-1.965539951334476,0.050581902453805484
sbmd,STAIT,self,self,with_guess,conditionAC:guessAC,4.1999117249117175,3.2231611790541783,1.3030411734309117,0.19389262887902958
