study,scale,guesser,respondent,contrast,type,est,se,df,t,p,p_adj
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-7.407994,1.760239,229.0,-4.208515,3.692829e-05,0.0002151418
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-6.971591,1.951378,229.0,-3.572649,0.0004307536,0.002417527
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-1.639929,1.686338,229.0,-0.9724794,0.3318382,0.7652513
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-1.203526,2.015586,229.0,-0.5971097,0.5510241,0.9328641
sbmd,mood,self,self,PLPLvsPLAC,fixCondition,-15.03092,3.672262,229.0,-4.093096,5.901869e-05,0.0003421665
sbmd,mood,self,self,ACPLvsACAC,fixCondition,-11.9375,4.071022,229.0,-2.93231,0.003705867,0.01927539
sbmd,mood,self,self,PLPLvsACPL,fixGuess,-4.357843,3.518086,229.0,-1.238697,0.2167259,0.6029069
sbmd,mood,self,self,PLACvsACAC,fixGuess,-1.264423,4.204973,229.0,-0.3006971,0.7639183,0.9905322
sbmd,creativity,self,self,PLPLvsPLAC,fixCondition,-17.76244,3.296251,229.0,-5.38868,1.760241e-07,1.050298e-06
sbmd,creativity,self,self,ACPLvsACAC,fixCondition,-13.95833,3.654182,229.0,-3.819825,0.0001720243,0.0009828512
sbmd,creativity,self,self,PLPLvsACPL,fixGuess,-4.063725,3.157862,229.0,-1.28686,0.1994425,0.5722327
sbmd,creativity,self,self,PLACvsACAC,fixGuess,-0.2596154,3.774417,229.0,-0.06878291,0.9452224,0.9998829
sbmd,WEMWB,self,self,PLPLvsPLAC,fixCondition,-5.510714,1.562839,225.0,-3.526093,0.0005109668,0.002855853
sbmd,WEMWB,self,self,ACPLvsACAC,fixCondition,-1.841402,1.522079,225.0,-1.209794,0.2276275,0.6212758
sbmd,WEMWB,self,self,PLPLvsACPL,fixGuess,-2.978378,1.732422,225.0,-1.7192,0.08695333,0.3161034
sbmd,WEMWB,self,self,PLACvsACAC,fixGuess,0.6909341,1.32586,225.0,0.5211214,0.6027947,0.9539459
sbmd,SCS,self,self,PLPLvsPLAC,fixCondition,-2.413095,1.343229,225.0,-1.796488,0.07375831,0.2777105
sbmd,SCS,self,self,ACPLvsACAC,fixCondition,-1.675973,1.308197,225.0,-1.281132,0.2014663,0.5758979
sbmd,SCS,self,self,PLPLvsACPL,fixGuess,-0.1423423,1.488982,225.0,-0.09559706,0.9239257,0.9996863
sbmd,SCS,self,self,PLACvsACAC,fixGuess,0.5947802,1.139551,225.0,0.5219427,0.6022237,0.9537425
sbmd,CPS,self,self,PLPLvsPLAC,fixCondition,0.1154,0.1064269,183.0,1.084312,0.2796529,0.6995573
sbmd,CPS,self,self,ACPLvsACAC,fixCondition,-0.01269634,0.1259817,183.0,-0.1007792,0.919836,0.9996323
sbmd,CPS,self,self,PLPLvsACPL,fixGuess,0.05623824,0.1085642,183.0,0.5180181,0.6050713,0.9546882
sbmd,CPS,self,self,PLACvsACAC,fixGuess,-0.07185811,0.1241447,183.0,-0.5788255,0.5634186,0.9383309
sbmd,energy,self,self,PLPLvsPLAC,fixCondition,-16.10407,3.498962,229.0,-4.602529,6.916607e-06,4.079196e-05
sbmd,energy,self,self,ACPLvsACAC,fixCondition,-14.2822,3.878904,229.0,-3.682019,0.0002886674,0.001633956
sbmd,energy,self,self,PLPLvsACPL,fixGuess,-8.525401,3.352062,229.0,-2.54333,0.01163947,0.05608255
sbmd,energy,self,self,PLACvsACAC,fixGuess,-6.703526,4.006533,229.0,-1.673149,0.09566351,0.3402799
sbmd,focus,self,self,PLPLvsPLAC,fixCondition,-11.7368,3.558549,229.0,-3.298199,0.001128091,0.006165718
sbmd,focus,self,self,ACPLvsACAC,fixCondition,-7.356061,3.944961,229.0,-1.864673,0.06350661,0.2462521
sbmd,focus,self,self,PLPLvsACPL,fixGuess,-0.7909982,3.409147,229.0,-0.2320223,0.8167279,0.9955899
sbmd,focus,self,self,PLACvsACAC,fixGuess,3.589744,4.074764,229.0,0.8809697,0.3792579,0.8147384
sbmd,temper,self,self,PLPLvsPLAC,fixCondition,4.842383,4.079437,229.0,1.187022,0.2364487,0.6356689
sbmd,temper,self,self,ACPLvsACAC,fixCondition,6.878788,4.522411,229.0,1.521044,0.1296282,0.4265726
sbmd,temper,self,self,PLPLvsACPL,fixGuess,-2.491533,3.908166,229.0,-0.6375197,0.5244233,0.9197751
sbmd,temper,self,self,PLACvsACAC,fixGuess,-0.4551282,4.671214,229.0,-0.09743254,0.9224681,0.9996679
sbmd,QIDS,self,self,PLPLvsPLAC,fixCondition,0.4321429,0.8796639,225.0,0.4912591,0.6237221,0.9609821
sbmd,QIDS,self,self,ACPLvsACAC,fixCondition,-0.1535492,0.8567217,225.0,-0.1792287,0.8579194,0.9979504
sbmd,QIDS,self,self,PLPLvsACPL,fixGuess,1.551351,0.9751157,225.0,1.590941,0.1130269,0.3858454
sbmd,QIDS,self,self,PLACvsACAC,fixGuess,0.9656593,0.7462774,225.0,1.293968,0.197003,0.5677216
sbmd,STAIT,self,self,PLPLvsPLAC,fixCondition,4.538492,2.309031,225.0,1.96554,0.0505819,0.2042172
sbmd,STAIT,self,self,ACPLvsACAC,fixCondition,0.3385803,2.24881,225.0,0.1505598,0.8804579,0.9987806
sbmd,STAIT,self,self,PLPLvsACPL,fixGuess,3.918318,2.559582,225.0,1.530843,0.127213,0.4207889
sbmd,STAIT,self,self,PLACvsACAC,fixGuess,-0.2815934,1.958904,225.0,-0.1437505,0.8858262,0.9989379
