study,scale,guesser,respondent,strata,est,se,df,lower_CI,upper_CI
sbmd,PANAS,self,self,PLPL,10.95098,0.9257515,229.0,9.126901,12.77506
sbmd,PANAS,self,self,ACPL,12.59091,1.40951,229.0,9.813642,15.36818
sbmd,PANAS,self,self,PLAC,18.35897,1.497139,229.0,15.40904,21.3089
sbmd,PANAS,self,self,ACAC,19.5625,1.349503,229.0,16.90347,22.22153
sbmd,mood,self,self,PLPL,54.89216,1.93133,229.0,51.08671,58.69761
sbmd,mood,self,self,ACPL,59.25,2.940561,229.0,53.45599,65.04401
sbmd,mood,self,self,PLAC,69.92308,3.123376,229.0,63.76885,76.07731
sbmd,mood,self,self,ACAC,71.1875,2.815373,229.0,65.64015,76.73485
sbmd,creativity,self,self,PLPL,46.18627,1.733577,229.0,42.77047,49.60207
sbmd,creativity,self,self,ACPL,50.25,2.639471,229.0,45.04925,55.45075
sbmd,creativity,self,self,PLAC,63.94872,2.803566,229.0,58.42463,69.4728
sbmd,creativity,self,self,ACAC,64.20833,2.527101,229.0,59.22899,69.18768
sbmd,WEMWB,self,self,PLPL,45.4,1.163717,225.0,43.10682,47.69318
sbmd,WEMWB,self,self,ACPL,48.37838,1.283373,225.0,45.84941,50.90735
sbmd,WEMWB,self,self,PLAC,50.91071,1.043181,225.0,48.85506,52.96637
sbmd,WEMWB,self,self,ACAC,50.21978,0.8183387,225.0,48.60719,51.83237
sbmd,SCS,self,self,PLPL,30.53333,1.000192,225.0,28.56239,32.50428
sbmd,SCS,self,self,ACPL,30.67568,1.103034,225.0,28.50208,32.84927
sbmd,SCS,self,self,PLAC,32.94643,0.8965938,225.0,31.17963,34.71322
sbmd,SCS,self,self,ACAC,32.35165,0.7033461,225.0,30.96566,33.73764
sbmd,CPS,self,self,PLPL,0.00065,0.05928895,183.0,-0.1163278,0.1176278
sbmd,CPS,self,self,ACPL,-0.05558824,0.0909451,183.0,-0.235024,0.1238475
sbmd,CPS,self,self,PLAC,-0.11475,0.08838275,183.0,-0.2891302,0.05963022
sbmd,CPS,self,self,ACAC,-0.04289189,0.08718021,183.0,-0.2148995,0.1291157
sbmd,energy,self,self,PLPL,47.58824,1.840187,229.0,43.96237,51.2141
sbmd,energy,self,self,ACPL,56.11364,2.801791,229.0,50.59305,61.63422
sbmd,energy,self,self,PLAC,63.69231,2.975978,229.0,57.82851,69.55611
sbmd,energy,self,self,ACAC,70.39583,2.682511,229.0,65.11028,75.68139
sbmd,focus,self,self,PLPL,52.18627,1.871525,229.0,48.49866,55.87389
sbmd,focus,self,self,ACPL,52.97727,2.849505,229.0,47.36267,58.59187
sbmd,focus,self,self,PLAC,63.92308,3.026659,229.0,57.95942,69.88674
sbmd,focus,self,self,ACAC,60.33333,2.728193,229.0,54.95776,65.7089
sbmd,temper,self,self,PLPL,36.30392,2.145473,229.0,32.07653,40.53131
sbmd,temper,self,self,ACPL,38.79545,3.266606,229.0,32.35901,45.2319
sbmd,temper,self,self,PLAC,31.46154,3.469691,229.0,24.62494,38.29814
sbmd,temper,self,self,ACAC,31.91667,3.127537,229.0,25.75424,38.07909
sbmd,QIDS,self,self,PLPL,7.2,0.6550133,225.0,5.909255,8.490745
sbmd,QIDS,self,self,ACPL,5.648649,0.722363,225.0,4.225187,7.072111
sbmd,QIDS,self,self,PLAC,6.767857,0.5871679,225.0,5.610805,7.924909
sbmd,QIDS,self,self,ACAC,5.802198,0.4606124,225.0,4.894532,6.709864
sbmd,STAIT,self,self,PLPL,42.37778,1.719345,225.0,38.9897,45.76586
sbmd,STAIT,self,self,ACPL,38.45946,1.896131,225.0,34.72301,42.19591
sbmd,STAIT,self,self,PLAC,37.83929,1.541258,225.0,34.80214,40.87643
sbmd,STAIT,self,self,ACAC,38.12088,1.209062,225.0,35.73835,40.50341
