study,scale,guesser,respondent,model_type,component,est,se,t,p
sbmd,PANAS,self,self,without_guess,intercept,13.0,0.8345014659208,15.578163167940787,6.948356365188514e-38
sbmd,PANAS,self,self,without_guess,conditionAC,3.228260869565217,1.328039983983358,2.4308461405524,0.015825931438907294
sbmd,PANAS,self,self,with_guess,intercept,10.950980392156863,0.9257515494743743,11.829286592471425,1.6399996699374115e-25
sbmd,PANAS,self,self,with_guess,conditionAC,1.6399286987522264,1.6863376534109882,0.9724794411339334,0.33183816286937384
sbmd,PANAS,self,self,with_guess,guessAC,7.407993966817497,1.7602392488970091,4.208515388723124,3.69282882442616e-05
sbmd,PANAS,self,self,with_guess,conditionAC:guessAC,-0.43640305772658466,2.627987788678377,-0.1660597737960012,0.8682564287154857
sbmd,mood,self,self,without_guess,intercept,59.04964539007093,1.7236871133012408,34.25775184742076,1.6345391347248547e-92
sbmd,mood,self,self,without_guess,conditionAC,6.4286154794942965,2.7431053147582536,2.3435540170140503,0.019950079078452844
sbmd,mood,self,self,with_guess,intercept,54.892156862745104,1.9313297188984624,28.421950082170824,4.774753682663197e-77
sbmd,mood,self,self,with_guess,conditionAC,4.3578431372549025,3.5180864973753847,1.2386969849962488,0.2167259312458171
sbmd,mood,self,self,with_guess,guessAC,15.030920060331827,3.6722621481935804,4.093095605313928,5.901869056098858e-05
sbmd,mood,self,self,with_guess,conditionAC:guessAC,-3.0934200603318223,5.482584306835445,-0.5642266287588286,0.5731520958643807
sbmd,energy,self,self,without_guess,intercept,52.04255319148936,1.6723799411442901,31.11885757005693,1.3906281640724813e-84
sbmd,energy,self,self,without_guess,conditionAC,11.522664199814985,2.661454198646236,4.329461767809514,2.2279024864612405e-05
sbmd,energy,self,self,with_guess,intercept,47.588235294117645,1.8401870570157173,25.86054233600187,7.058970104854752e-70
sbmd,energy,self,self,with_guess,conditionAC,8.525401069518711,3.352062143808549,2.543330255754839,0.011639469063609183
sbmd,energy,self,self,with_guess,guessAC,16.10407239819004,3.498961989218909,4.602528534979895,6.916607169955389e-06
sbmd,energy,self,self,with_guess,conditionAC:guessAC,-1.8218754284930647,5.223852034022623,-0.3487609175427067,0.7275892480325066
sbmd,WEMWB,self,self,without_guess,intercept,48.45544554455445,0.796866259055691,60.80750062372514,1.778396304649465e-142
sbmd,WEMWB,self,self,without_guess,conditionAC,1.2320544554455426,1.0658551663970022,1.1559304624945972,0.24892475569589387
sbmd,WEMWB,self,self,with_guess,intercept,45.39999999999999,1.1637173586563414,39.01290950271638,4.143864707790234e-102
sbmd,WEMWB,self,self,with_guess,conditionAC,2.978378378378371,1.7324215472953073,1.7191995695437277,0.08695333423505093
sbmd,WEMWB,self,self,with_guess,guessAC,5.510714285714283,1.5628388042657182,3.5260925635279627,0.0005109668176632257
sbmd,WEMWB,self,self,with_guess,conditionAC:guessAC,-3.669312444312435,2.181556699148968,-1.681969781369352,0.09396201416470003
sbmd,STAIT,self,self,without_guess,intercept,39.86138613861386,1.1524054465184073,34.58972383291071,1.8426447450563355e-92
sbmd,STAIT,self,self,without_guess,conditionAC,-1.6426361386138613,1.54140959665083,-1.065671410235784,0.2877043633147063
sbmd,STAIT,self,self,with_guess,intercept,42.37777777777777,1.719345005002989,24.647628983401212,7.414049546344294e-66
sbmd,STAIT,self,self,with_guess,conditionAC,-3.918318318318313,2.5595822832280692,-1.5308428816660842,0.12721296459713988
sbmd,STAIT,self,self,with_guess,guessAC,-4.538492063492058,2.3090306866623145,-1.965539951334476,0.050581902453805484
sbmd,STAIT,self,self,with_guess,conditionAC:guessAC,4.1999117249117175,3.2231611790541783,1.3030411734309117,0.19389262887902958
