study,scale,guesser,respondent,model_type,df1,df2,f,adjr2,p
sbmd,PANAS,self,self,without_guess,1.0,231.0,5.909012959038499,0.020721089914326196,0.015825931438907287
sbmd,PANAS,self,self,with_guess,3.0,229.0,12.370948086059386,0.12818939406428076,1.5768840143444293e-07
sbmd,mood,self,self,without_guess,1.0,231.0,5.492245430662692,0.018995318102215664,0.019950079078452844
sbmd,mood,self,self,with_guess,3.0,229.0,10.466444528151774,0.10906069993932832,1.7677923512727219e-06
sbmd,energy,self,self,without_guess,1.0,231.0,18.744239198924273,0.07104964365080224,2.2279024864612462e-05
sbmd,energy,self,self,with_guess,3.0,229.0,18.713821623383932,0.18636877275759056,6.83303381696581e-11
sbmd,WEMWB,self,self,without_guess,1.0,227.0,1.3361752341229813,0.0014722819709941382,0.24892475569589245
sbmd,WEMWB,self,self,with_guess,3.0,225.0,5.101044436984799,0.051198389057349525,0.001960607567421344
sbmd,STAIT,self,self,without_guess,1.0,227.0,1.135655554593923,0.0005946267113053905,0.2877043633147066
sbmd,STAIT,self,self,with_guess,3.0,225.0,1.6770355439063083,0.008829704214616152,0.17277373180778635
