study,scale,guesser,respondent,model_type,component,est,se,t,p,cgr,cgr_trial_id
sbmd,PANAS,self,self,without_guess,intercept,14.052238805970147,0.821321997683763,17.109293122063363,6.095357501398768e-43,0.5,0
sbmd,PANAS,self,self,without_guess,conditionAC,1.2810945273631849,1.2600094955705392,1.0167340261059685,0.3103436797490382,0.5,0
sbmd,PANAS,self,self,with_guess,intercept,10.721518987341776,0.9819500043419631,10.918599663866408,1.289067049131762e-22,0.5,0
sbmd,PANAS,self,self,with_guess,conditionAC,1.8107390771743577,1.480822784341979,1.2227925558148276,0.22266499317226074,0.5,0
sbmd,PANAS,self,self,with_guess,guessAC,8.114844649021864,1.5327115525205186,5.294436931513393,2.794664841580076e-07,0.5,0
sbmd,PANAS,self,self,with_guess,conditionAC:guessAC,-0.6200756865109673,2.3741456185662484,-0.2611784558040009,0.7941896259680842,0.5,0
sbmd,PANAS,self,self,without_guess,intercept,14.179104477611942,0.8712622311117787,16.274209958026784,3.455090927162503e-40,0.5,1
sbmd,PANAS,self,self,without_guess,conditionAC,1.2047339062264437,1.3366239884341986,0.9013259650066143,0.3683537980972156,0.5,1
sbmd,PANAS,self,self,with_guess,intercept,11.000000000000002,1.0754035389702263,10.228718431160518,1.8077515702160326e-20,0.5,1
sbmd,PANAS,self,self,with_guess,conditionAC,2.4354838709677438,1.6217547286801868,1.5017584520624672,0.13453711807535326,0.5,1
sbmd,PANAS,self,self,with_guess,guessAC,7.745454545454546,1.678581822407226,4.61428477424289,6.56798883291471e-06,0.5,1
sbmd,PANAS,self,self,with_guess,conditionAC:guessAC,-2.53228976777364,2.60009632766157,-0.973921520073484,0.33112314228027506,0.5,1
sbmd,PANAS,self,self,without_guess,intercept,15.753731343283583,0.833367584882239,18.90370063470815,8.531015238672412e-49,0.5,2
sbmd,PANAS,self,self,without_guess,conditionAC,-0.6022161917684314,1.2784889156915216,-0.4710374758647781,0.6380584880238054,0.5,2
sbmd,PANAS,self,self,with_guess,intercept,11.999999999999998,1.0007396842929155,11.991130349226374,4.947114718358637e-26,0.5,2
sbmd,PANAS,self,self,with_guess,conditionAC,1.1451612903225812,1.5091584287829702,0.75880786833366,0.4487477955148287,0.5,2
sbmd,PANAS,self,self,with_guess,guessAC,9.145454545454545,1.5620400920608661,5.854814221438168,1.6444114516623776e-08,0.5,2
sbmd,PANAS,self,self,with_guess,conditionAC:guessAC,-3.7771023222636133,2.419575056045308,-1.5610602005614678,0.11989042530157262,0.5,2
sbmd,PANAS,self,self,without_guess,intercept,13.828358208955224,0.8584295412601612,16.10890299587711,1.216135392917609e-39,0.5,3
sbmd,PANAS,self,self,without_guess,conditionAC,2.1615407809437666,1.316937055523173,1.641339479269996,0.10208773031830047,0.5,3
sbmd,PANAS,self,self,with_guess,intercept,10.481012658227845,1.053512228788983,9.94863882147416,1.3025465757489454e-19,0.5,3
sbmd,PANAS,self,self,with_guess,conditionAC,3.6480195998366685,1.5887416926272908,2.2961691109169324,0.022570436337269566,0.5,3
sbmd,PANAS,self,self,with_guess,guessAC,8.155350978135788,1.6444119931223973,4.9594329232849175,1.3772803537909188e-06,0.5,3
sbmd,PANAS,self,self,with_guess,conditionAC:guessAC,-3.176275128092194,2.5471678099960475,-1.2469830670862327,0.21367757676578422,0.5,3
sbmd,PANAS,self,self,without_guess,intercept,14.858208955223883,0.8609079192129809,17.258766731762513,1.966737405880655e-43,0.5,4
sbmd,PANAS,self,self,without_guess,conditionAC,0.08118498417005834,1.3207391937381143,0.06146935334013892,0.9510385712088256,0.5,4
sbmd,PANAS,self,self,with_guess,intercept,12.063291139240508,1.045096176663256,11.542756933391273,1.3560889031650203e-24,0.5,4
sbmd,PANAS,self,self,with_guess,conditionAC,-0.30522662311147414,1.5760499245261865,-0.19366558023422736,0.8466094161747921,0.5,4
sbmd,PANAS,self,self,with_guess,guessAC,6.809436133486765,1.6312754991433978,4.1743017271224145,4.247901605198369e-05,0.5,4
sbmd,PANAS,self,self,with_guess,conditionAC:guessAC,1.7027696206544716,2.526819591459901,0.6738785888828238,0.5010681227774019,0.5,4
sbmd,PANAS,self,self,without_guess,intercept,14.902985074626866,0.8486590795184049,17.56062644505492,2.0110518258709625e-44,0.5,5
sbmd,PANAS,self,self,without_guess,conditionAC,-0.7615709332127245,1.3019479591572654,-0.5849472921372986,0.5591540757614122,0.5,5
sbmd,PANAS,self,self,with_guess,intercept,11.481012658227849,0.9988480351828487,11.494253634013646,1.936629667851085e-24,0.5,5
sbmd,PANAS,self,self,with_guess,conditionAC,-0.8035933033891371,1.5063057406728009,-0.5334861852350156,0.5942144789672827,0.5,5
sbmd,PANAS,self,self,with_guess,guessAC,8.337169159953971,1.5590874443379736,5.347467321497247,2.1561391039539072e-07,0.5,5
sbmd,PANAS,self,self,with_guess,conditionAC:guessAC,0.931357431153264,2.415001452066825,0.3856550191123829,0.7001101910850115,0.5,5
sbmd,PANAS,self,self,without_guess,intercept,14.895522388059703,0.8352971224344702,17.832603498796647,2.5900652602670074e-45,0.5,6
