study,scale,guesser,respondent,model_type,df1,df2,f,adjr2,p,cgr,cgr_trial_id
sbmd,PANAS,self,self,without_guess,1.0,231.0,1.0337480798416523,0.0001454447041472351,0.3103436797490382,0.5,0
sbmd,PANAS,self,self,with_guess,3.0,229.0,15.44829628725438,0.15742035031390922,3.4721017225820483e-09,0.5,0
sbmd,PANAS,self,self,without_guess,1.0,231.0,0.8123884951951045,-0.0008093247562082073,0.3683537980972158,0.5,1
sbmd,PANAS,self,self,with_guess,3.0,229.0,9.696275326318833,0.10108467842417823,4.752869082166178e-06,0.5,1
sbmd,PANAS,self,self,without_guess,1.0,231.0,0.2218763036690612,-0.003365268497817153,0.6380584880238055,0.5,2
sbmd,PANAS,self,self,with_guess,3.0,229.0,14.326796585547,0.14699732503661078,1.3770315753241626e-08,0.5,2
sbmd,PANAS,self,self,without_guess,1.0,231.0,2.6939952862102996,0.007248775408780328,0.10208773031830055,0.5,3
sbmd,PANAS,self,self,with_guess,3.0,229.0,11.393843384008406,0.11847917342076941,5.420675575420098e-07,0.5,3
sbmd,PANAS,self,self,without_guess,1.0,231.0,0.003778481400054808,-0.004312576725580053,0.9510385712088258,0.5,4
sbmd,PANAS,self,self,with_guess,3.0,229.0,12.295783897064688,0.127450032788891,1.7333265977689938e-07,0.5,4
sbmd,PANAS,self,self,without_guess,1.0,231.0,0.34216333457875814,-0.002843565807197024,0.5591540757614122,0.5,5
sbmd,PANAS,self,self,with_guess,3.0,229.0,18.089913374272832,0.18099264715175467,1.43358677562887e-10,0.5,5
sbmd,PANAS,self,self,without_guess,1.0,231.0,0.5530302522897135,-0.00193031266843402,0.4578378886757495,0.5,6
sbmd,PANAS,self,self,with_guess,3.0,229.0,14.76917708626001,0.15113938159160412,7.982798901991098e-09,0.5,6
sbmd,PANAS,self,self,without_guess,1.0,231.0,0.4089961596602676,-0.0025539363211790622,0.5231131643541016,0.5,7
sbmd,PANAS,self,self,with_guess,3.0,229.0,16.169301017967566,0.1639877731520436,1.4431072371970424e-09,0.5,7
sbmd,PANAS,self,self,without_guess,1.0,231.0,0.251728715209059,-0.0032357435291325842,0.616338306149897,0.5,8
sbmd,PANAS,self,self,with_guess,3.0,229.0,11.500488747547056,0.11954949128682857,4.734687816038327e-07,0.5,8
sbmd,PANAS,self,self,without_guess,1.0,231.0,0.26879749327959684,-0.0031616997824430726,0.6046358247519866,0.5,9
sbmd,PANAS,self,self,with_guess,3.0,229.0,10.649850304601923,0.1109392632117161,1.398195849838388e-06,0.5,9
sbmd,PANAS,self,self,without_guess,1.0,231.0,1.6878734061105152,0.002956206509782233,0.19517673288158865,0.5,10
sbmd,PANAS,self,self,with_guess,3.0,229.0,11.014696969974564,0.11465280825680291,8.7785609768889e-07,0.5,10
sbmd,PANAS,self,self,without_guess,1.0,231.0,2.4842515701589085,0.006356966519915019,0.1163595246588662,0.5,11
sbmd,PANAS,self,self,with_guess,3.0,229.0,13.324268049288728,0.1374592656867295,4.778110452614633e-08,0.5,11
sbmd,PANAS,self,self,without_guess,1.0,231.0,0.10268043977408504,-0.0038827743517226843,0.7489260819774406,0.5,12
sbmd,PANAS,self,self,with_guess,3.0,229.0,14.439051633750303,0.14805220374702777,1.1988466171446697e-08,0.5,12
sbmd,PANAS,self,self,without_guess,1.0,231.0,3.0969425623294495,0.00895758201443031,0.0797631000942823,0.5,13
sbmd,PANAS,self,self,with_guess,3.0,229.0,17.938074891372867,0.17967351088040517,1.7180464341078153e-10,0.5,13
sbmd,PANAS,self,self,without_guess,1.0,231.0,0.9484681023233774,-0.0002221695969721882,0.33112825199754503,0.5,14
sbmd,PANAS,self,self,with_guess,3.0,229.0,10.27058897729889,0.1070458326823468,2.2719030650337507e-06,0.5,14
sbmd,PANAS,self,self,without_guess,1.0,231.0,1.1724125813284747,0.0007426058049342377,0.28003501637775113,0.5,15
sbmd,PANAS,self,self,with_guess,3.0,229.0,11.06682766503292,0.11518088239243751,8.214738257250928e-07,0.5,15
sbmd,PANAS,self,self,without_guess,1.0,231.0,0.0585935284180736,-0.00407431923308299,0.8089476553495695,0.5,16
sbmd,PANAS,self,self,with_guess,3.0,229.0,8.332800825922684,0.08660842849077977,2.7805716888894685e-05,0.5,16
sbmd,PANAS,self,self,without_guess,1.0,231.0,0.2950287393785296,-0.003047930880589078,0.5875396056434912,0.5,17
sbmd,PANAS,self,self,with_guess,3.0,229.0,14.907997203988495,0.15243088983998865,6.730637620010471e-09,0.5,17
sbmd,PANAS,self,self,without_guess,1.0,231.0,4.078806636210419,0.013096912819431483,0.0445792636159211,0.5,18
sbmd,PANAS,self,self,with_guess,3.0,229.0,17.39973383178664,0.1749620953179405,3.270974157282742e-10,0.5,18
sbmd,PANAS,self,self,without_guess,1.0,231.0,0.41832521780250814,-0.0025135208356987793,0.5184160462075242,0.5,19
sbmd,PANAS,self,self,with_guess,3.0,229.0,13.222292660808616,0.13647710599005936,5.426292400531419e-08,0.5,19
sbmd,PANAS,self,self,without_guess,1.0,231.0,0.5054786273443669,-0.0021361108842337106,0.4778199495749398,0.5,20
sbmd,PANAS,self,self,with_guess,3.0,229.0,12.084575632672527,0.1253657292091609,2.261873311419778e-07,0.5,20
sbmd,PANAS,self,self,without_guess,1.0,231.0,7.576923040417639,0.027567305993394187,0.006381699398160296,0.5,21
sbmd,PANAS,self,self,with_guess,3.0,229.0,19.942477039064197,0.1967521952377672,1.608773427466566e-11,0.5,21
sbmd,PANAS,self,self,without_guess,1.0,231.0,1.4526017141591263,0.001947070976283105,0.22934414397738243,0.5,22
sbmd,PANAS,self,self,with_guess,3.0,229.0,22.326449841569662,0.21616153163201635,1.0200900617743368e-12,0.5,22
sbmd,PANAS,self,self,without_guess,1.0,231.0,0.20472820712512582,-0.003439686545520848,0.6513557689775056,0.5,23
sbmd,PANAS,self,self,with_guess,3.0,229.0,5.6781889703494945,0.05704306954608773,0.0009097527657923611,0.5,23
sbmd,PANAS,self,self,without_guess,1.0,231.0,0.053785390006440045,-0.004095213624812022,0.8168079741453274,0.5,24
sbmd,PANAS,self,self,with_guess,3.0,229.0,11.971637847827438,0.12424711430253166,2.6083635170297996e-07,0.5,24
sbmd,PANAS,self,self,without_guess,1.0,231.0,0.34977605611423346,-0.0028105665584394757,0.5548182264329549,0.5,25
sbmd,PANAS,self,self,with_guess,3.0,229.0,12.810610128232534,0.13248920419730648,9.079841463353057e-08,0.5,25
sbmd,PANAS,self,self,without_guess,1.0,231.0,0.05750839563858461,-0.004079034742933141,0.8106909250039437,0.5,26
sbmd,PANAS,self,self,with_guess,3.0,229.0,9.862992740054999,0.10282332372854242,3.834747673443462e-06,0.5,26
sbmd,PANAS,self,self,without_guess,1.0,231.0,2.1419765608904666,0.004898202278868502,0.14467652703580586,0.5,27
sbmd,PANAS,self,self,with_guess,3.0,229.0,14.38386334841369,0.1475339168092551,1.2833413561034032e-08,0.5,27
sbmd,PANAS,self,self,without_guess,1.0,231.0,0.0033554743113175787,-0.00431441579557279,0.9538572861605854,0.5,28
sbmd,PANAS,self,self,with_guess,3.0,229.0,13.80760160329042,0.142084188635221,2.6189254660161636e-08,0.5,28
sbmd,PANAS,self,self,without_guess,1.0,231.0,5.94936540309354,0.0208878609768538,0.015476744344054943,0.5,29
sbmd,PANAS,self,self,with_guess,3.0,229.0,14.888125096715441,0.1522462514383638,6.896955941446167e-09,0.5,29
sbmd,PANAS,self,self,without_guess,1.0,231.0,2.35549827754743,0.005808726546203902,0.1262104687741741,0.5,30
sbmd,PANAS,self,self,with_guess,3.0,229.0,15.11462585061212,0.1543459906220639,5.223296080229806e-09,0.5,30
sbmd,PANAS,self,self,without_guess,1.0,231.0,3.129404098980125,0.009094987907114382,0.07821140075829702,0.5,31
sbmd,PANAS,self,self,with_guess,3.0,229.0,23.85195166051236,0.22809688730152478,1.8041027281978697e-13,0.5,31
sbmd,PANAS,self,self,without_guess,1.0,231.0,0.24334935543713435,-0.0032720968913135806,0.6222660753235963,0.5,32
sbmd,PANAS,self,self,with_guess,3.0,229.0,13.30922470413972,0.13731451861284605,4.8685860996069776e-08,0.5,32
