study,scale,guesser,respondent,contrast,type,est,se,df,t,p,p_adj,cgr,cgr_trial_id
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-8.114845,1.532712,229.0,-5.294437,2.794665e-07,1.666134e-06,0.5,0
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-7.494769,1.813109,229.0,-4.133657,5.011007e-05,0.000291039,0.5,0
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-1.810739,1.480823,229.0,-1.222793,0.222665,0.6130164,0.5,0
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-1.190663,1.855729,229.0,-0.6416148,0.521765,0.9183761,0.5,0
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-7.745455,1.678582,229.0,-4.614285,6.567989e-06,3.874673e-05,0.5,1
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-5.213165,1.985665,229.0,-2.6254,0.009237849,0.04534447,0.5,1
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-2.435484,1.621755,229.0,-1.501758,0.1345371,0.438109,0.5,1
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,0.0968059,2.032342,229.0,0.04763269,0.9620505,0.9999611,0.5,1
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-9.145455,1.56204,229.0,-5.854814,1.644411e-08,9.839329e-08,0.5,2
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-5.368352,1.847803,229.0,-2.905263,0.004029004,0.02086324,0.5,2
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-1.145161,1.509158,229.0,-0.7588079,0.4487478,0.8728109,0.5,2
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,2.631941,1.891239,229.0,1.391649,0.1653789,0.5058621,0.5,2
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-8.155351,1.644412,229.0,-4.959433,1.37728e-06,8.178304e-06,0.5,3
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-4.979076,1.945244,229.0,-2.559615,0.01112271,0.05379641,0.5,3
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-3.64802,1.588742,229.0,-2.296169,0.02257044,0.1019091,0.5,3
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-0.4717445,1.990971,229.0,-0.236942,0.8129136,0.9953075,0.5,3
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-6.809436,1.631275,229.0,-4.174302,4.247902e-05,0.00024714,0.5,4
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-8.512206,1.929704,229.0,-4.411146,1.582793e-05,9.28648e-05,0.5,4
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,0.3052266,1.57605,229.0,0.1936656,0.8466094,0.9974195,0.5,4
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-1.397543,1.975066,229.0,-0.7075932,0.4799174,0.8940188,0.5,4
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-8.337169,1.559087,229.0,-5.347467,2.156139e-07,1.286073e-06,0.5,5
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-9.268527,1.84431,229.0,-5.025472,1.011807e-06,6.013779e-06,0.5,5
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,0.8035933,1.506306,229.0,0.5334862,0.5942145,0.9508294,0.5,5
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-0.1277641,1.887664,229.0,-0.06768373,0.9460965,0.9998885,0.5,5
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-9.706789,1.562969,229.0,-6.210482,2.46137e-09,1.474472e-08,0.5,6
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-4.169137,1.848901,229.0,-2.254927,0.02508341,0.1118722,0.5,6
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-3.37893,1.510056,229.0,-2.237619,0.02620857,0.1162738,0.5,6
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,2.158722,1.892363,229.0,1.140755,0.2551636,0.6646969,0.5,6
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-9.72382,1.520121,229.0,-6.396742,8.837107e-10,5.295981e-09,0.5,7
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-4.791194,1.798214,229.0,-2.664418,0.008260557,0.04088688,0.5,7
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-3.003879,1.468658,229.0,-2.045322,0.04196629,0.1745903,0.5,7
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,1.928747,1.840485,229.0,1.047956,0.2957638,0.7213836,0.5,7
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-8.00023,1.69292,229.0,-4.725698,4.003493e-06,2.367569e-05,0.5,8
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-6.903226,2.002626,229.0,-3.447087,0.0006741359,0.003741533,0.5,8
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-1.387913,1.635608,229.0,-0.8485613,0.3970116,0.8311066,0.5,8
