study,scale,guesser,respondent,strata,est,se,df,lower_CI,upper_CI,cgr,cgr_trial_id
sbmd,PANAS,self,self,PLPL,10.72152,0.98195,229.0,8.786707,12.65633,0.5,0
sbmd,PANAS,self,self,ACPL,12.53226,1.108427,229.0,10.34824,14.71628,0.5,0
sbmd,PANAS,self,self,PLAC,18.83636,1.176851,229.0,16.51752,21.1552,0.5,0
sbmd,PANAS,self,self,ACAC,20.02703,1.434835,229.0,17.19986,22.85419,0.5,0
sbmd,PANAS,self,self,PLPL,11.0,1.075404,229.0,8.881049,13.11895,0.5,1
sbmd,PANAS,self,self,ACPL,13.43548,1.213917,229.0,11.04361,15.82736,0.5,1
sbmd,PANAS,self,self,PLAC,18.74545,1.288854,229.0,16.20593,21.28498,0.5,1
sbmd,PANAS,self,self,ACAC,18.64865,1.571391,229.0,15.55242,21.74488,0.5,1
sbmd,PANAS,self,self,PLPL,12.0,1.00074,229.0,10.02817,13.97183,0.5,2
sbmd,PANAS,self,self,ACPL,13.14516,1.129637,229.0,10.91935,15.37097,0.5,2
sbmd,PANAS,self,self,PLAC,21.14545,1.19937,229.0,18.78224,23.50867,0.5,2
sbmd,PANAS,self,self,ACAC,18.51351,1.462291,229.0,15.63225,21.39478,0.5,2
sbmd,PANAS,self,self,PLPL,10.48101,1.053512,229.0,8.405196,12.55683,0.5,3
sbmd,PANAS,self,self,ACPL,14.12903,1.189207,229.0,11.78585,16.47222,0.5,3
sbmd,PANAS,self,self,PLAC,18.63636,1.262617,229.0,16.14853,21.1242,0.5,3
sbmd,PANAS,self,self,ACAC,19.10811,1.539403,229.0,16.0749,22.14131,0.5,3
sbmd,PANAS,self,self,PLPL,12.06329,1.045096,229.0,10.00406,14.12252,0.5,4
sbmd,PANAS,self,self,ACPL,11.75806,1.179706,229.0,9.433598,14.08253,0.5,4
sbmd,PANAS,self,self,PLAC,18.87273,1.252531,229.0,16.40477,21.34069,0.5,4
sbmd,PANAS,self,self,ACAC,20.27027,1.527105,229.0,17.2613,23.27924,0.5,4
sbmd,PANAS,self,self,PLPL,11.48101,0.998848,229.0,9.512905,13.44912,0.5,5
sbmd,PANAS,self,self,ACPL,10.67742,1.127501,229.0,8.455816,12.89902,0.5,5
sbmd,PANAS,self,self,PLAC,19.81818,1.197103,229.0,17.45944,22.17693,0.5,5
sbmd,PANAS,self,self,ACAC,19.94595,1.459527,229.0,17.07013,22.82176,0.5,5
sbmd,PANAS,self,self,PLPL,10.91139,1.001335,229.0,8.938385,12.8844,0.5,6
sbmd,PANAS,self,self,ACPL,14.29032,1.130308,229.0,12.06319,16.51746,0.5,6
sbmd,PANAS,self,self,PLAC,20.61818,1.200084,229.0,18.25356,22.9828,0.5,6
sbmd,PANAS,self,self,ACAC,18.45946,1.46316,229.0,15.57648,21.34244,0.5,6
sbmd,PANAS,self,self,PLPL,10.36709,0.9738836,229.0,8.448171,12.28601,0.5,7
sbmd,PANAS,self,self,ACPL,13.37097,1.099322,229.0,11.20489,15.53705,0.5,7
sbmd,PANAS,self,self,PLAC,20.09091,1.167184,229.0,17.79112,22.3907,0.5,7
sbmd,PANAS,self,self,ACAC,18.16216,1.423049,229.0,15.35822,20.9661,0.5,7
sbmd,PANAS,self,self,PLPL,10.70886,1.08459,229.0,8.57181,12.84591,0.5,8
sbmd,PANAS,self,self,ACPL,12.09677,1.224287,229.0,9.684468,14.50908,0.5,8
sbmd,PANAS,self,self,PLAC,18.70909,1.299863,229.0,16.14787,21.27031,0.5,8
sbmd,PANAS,self,self,ACAC,19.0,1.584813,229.0,15.87732,22.12268,0.5,8
sbmd,PANAS,self,self,PLPL,10.31646,1.141549,229.0,8.067174,12.56574,0.5,9
sbmd,PANAS,self,self,ACPL,10.67742,1.288582,229.0,8.138426,13.21641,0.5,9
