study,scale,guesser,respondent,model_type,df1,df2,f,adjr2,p,cgr,cgr_trial_id
sbmd,PANAS,self,self,without_guess,1.0,231.0,21.936985304717425,0.0827754995161909,4.8088045101521475e-06,0.0,0
sbmd,PANAS,self,self,with_guess,1.0,231.0,21.936985304717425,0.0827754995161909,4.8088045101521475e-06,0.0,0
sbmd,PANAS,self,self,without_guess,1.0,231.0,42.559596574036,0.15192154504727207,4.2833511919995744e-10,0.0,1
sbmd,PANAS,self,self,with_guess,1.0,231.0,42.559596574036,0.15192154504727207,4.2833511919995744e-10,0.0,1
sbmd,PANAS,self,self,without_guess,1.0,231.0,34.78095787424239,0.1271007454575669,1.3011438528924794e-08,0.0,2
sbmd,PANAS,self,self,with_guess,1.0,231.0,34.78095787424239,0.1271007454575669,1.3011438528924794e-08,0.0,2
sbmd,PANAS,self,self,without_guess,1.0,231.0,17.556688265729328,0.06661131664269981,3.971140508928332e-05,0.0,3
sbmd,PANAS,self,self,with_guess,1.0,231.0,17.556688265729328,0.06661131664269981,3.971140508928332e-05,0.0,3
sbmd,PANAS,self,self,without_guess,1.0,231.0,37.55719947207981,0.13612444404373691,3.7972780193626125e-09,0.0,4
sbmd,PANAS,self,self,with_guess,1.0,231.0,37.55719947207981,0.13612444404373691,3.7972780193626125e-09,0.0,4
sbmd,PANAS,self,self,without_guess,1.0,231.0,20.3630340843371,0.07703214657187996,1.0202609182237452e-05,0.0,5
sbmd,PANAS,self,self,with_guess,1.0,231.0,20.3630340843371,0.07703214657187996,1.0202609182237452e-05,0.0,5
sbmd,PANAS,self,self,without_guess,1.0,231.0,6.357776493384686,0.02257257618662445,0.012361085538323475,0.0,6
sbmd,PANAS,self,self,with_guess,1.0,231.0,6.357776493384686,0.02257257618662445,0.012361085538323475,0.0,6
sbmd,PANAS,self,self,without_guess,1.0,231.0,26.58428918060859,0.09932395047071307,5.4186275062802e-07,0.0,7
sbmd,PANAS,self,self,with_guess,1.0,231.0,26.5842891806086,0.09932395047071318,5.418627506280178e-07,0.0,7
sbmd,PANAS,self,self,without_guess,1.0,231.0,28.92993612345346,0.10745178696996316,1.8361483601856144e-07,0.0,8
sbmd,PANAS,self,self,with_guess,1.0,231.0,28.92993612345346,0.10745178696996316,1.8361483601856144e-07,0.0,8
sbmd,PANAS,self,self,without_guess,1.0,231.0,16.472633533006636,0.06252260426582879,6.757365422126219e-05,0.0,9
sbmd,PANAS,self,self,with_guess,1.0,231.0,16.472633533006633,0.06252260426582879,6.757365422126219e-05,0.0,9
sbmd,PANAS,self,self,without_guess,1.0,231.0,22.26842269504596,0.08397581691680034,4.107919482858056e-06,0.0,10
sbmd,PANAS,self,self,with_guess,1.0,231.0,22.268422695045953,0.08397581691680023,4.107919482858071e-06,0.0,10
sbmd,PANAS,self,self,without_guess,1.0,231.0,25.644167298425273,0.09602465373689595,8.391103702536352e-07,0.0,11
sbmd,PANAS,self,self,with_guess,1.0,231.0,25.644167298425273,0.09602465373689595,8.391103702536352e-07,0.0,11
sbmd,PANAS,self,self,without_guess,1.0,231.0,21.571199172846317,0.08144712952314281,5.723896823354794e-06,0.0,12
sbmd,PANAS,self,self,with_guess,1.0,231.0,21.571199172846324,0.08144712952314292,5.72389682335477e-06,0.0,12
sbmd,PANAS,self,self,without_guess,1.0,231.0,24.402209425449733,0.09162884486432243,1.5002106974777372e-06,0.0,13
sbmd,PANAS,self,self,with_guess,1.0,231.0,24.40220942544973,0.09162884486432243,1.5002106974777372e-06,0.0,13
sbmd,PANAS,self,self,without_guess,1.0,231.0,25.325683975161947,0.09490146909163855,9.735768242652345e-07,0.0,14
sbmd,PANAS,self,self,with_guess,1.0,231.0,25.325683975161947,0.09490146909163855,9.735768242652345e-07,0.0,14
sbmd,PANAS,self,self,without_guess,1.0,231.0,13.427370750647214,0.05084279519303514,0.0003076015404298857,0.0,15
sbmd,PANAS,self,self,with_guess,1.0,231.0,13.427370750647217,0.05084279519303514,0.00030760154042988505,0.0,15
sbmd,PANAS,self,self,without_guess,1.0,231.0,19.98143931710735,0.07562885673440134,1.2256500930824728e-05,0.0,16
sbmd,PANAS,self,self,with_guess,1.0,231.0,19.98143931710735,0.07562885673440134,1.2256500930824728e-05,0.0,16
sbmd,PANAS,self,self,without_guess,1.0,231.0,18.723756207408808,0.07097344872823519,2.250140709706007e-05,0.0,17
sbmd,PANAS,self,self,with_guess,1.0,231.0,18.72375620740881,0.07097344872823519,2.2501407097060025e-05,0.0,17
sbmd,PANAS,self,self,without_guess,1.0,231.0,22.247347432875767,0.08389958531947683,4.14923920983812e-06,0.0,18
sbmd,PANAS,self,self,with_guess,1.0,231.0,22.24734743287576,0.08389958531947683,4.149239209838137e-06,0.0,18
sbmd,PANAS,self,self,without_guess,1.0,231.0,22.85485037286329,0.0860919156784391,3.110872466460352e-06,0.0,19
sbmd,PANAS,self,self,with_guess,1.0,231.0,22.85485037286329,0.0860919156784391,3.110872466460352e-06,0.0,19
sbmd,PANAS,self,self,without_guess,1.0,231.0,33.6483756998647,0.12336510894323771,2.1598794307589014e-08,0.0,20
sbmd,PANAS,self,self,with_guess,1.0,231.0,33.6483756998647,0.12336510894323771,2.1598794307589014e-08,0.0,20
sbmd,PANAS,self,self,without_guess,1.0,231.0,20.40833557932218,0.07719845698273853,9.983133968889548e-06,0.0,21
sbmd,PANAS,self,self,with_guess,1.0,231.0,20.40833557932217,0.07719845698273853,9.98313396888963e-06,0.0,21
sbmd,PANAS,self,self,without_guess,1.0,231.0,10.567501499162708,0.03960591321178142,0.0013226420227332029,0.0,22
sbmd,PANAS,self,self,with_guess,1.0,231.0,10.567501499162708,0.03960591321178142,0.0013226420227332029,0.0,22
sbmd,PANAS,self,self,without_guess,1.0,231.0,23.557473745880873,0.0886144626356542,2.232196735173465e-06,0.0,23
sbmd,PANAS,self,self,with_guess,1.0,231.0,23.557473745880877,0.0886144626356542,2.232196735173465e-06,0.0,23
sbmd,PANAS,self,self,without_guess,1.0,231.0,16.248523814079903,0.06167286088852908,7.546015980430156e-05,0.0,24
sbmd,PANAS,self,self,with_guess,1.0,231.0,16.248523814079903,0.06167286088852908,7.546015980430156e-05,0.0,24
sbmd,PANAS,self,self,without_guess,1.0,231.0,19.097749377929542,0.072362703874562,1.8773175223805055e-05,0.0,25
sbmd,PANAS,self,self,with_guess,1.0,231.0,19.097749377929542,0.072362703874562,1.8773175223805055e-05,0.0,25
sbmd,PANAS,self,self,without_guess,1.0,231.0,1.8762816598391339,0.0037628634981347053,0.17208735764140032,0.0,26
sbmd,PANAS,self,self,with_guess,1.0,231.0,1.8762816598391339,0.0037628634981347053,0.17208735764140032,0.0,26
sbmd,PANAS,self,self,without_guess,1.0,231.0,8.0782652535471,0.029606477385305086,0.004880747235043865,0.0,27
sbmd,PANAS,self,self,with_guess,1.0,231.0,8.078265253547102,0.029606477385305086,0.004880747235043859,0.0,27
sbmd,PANAS,self,self,without_guess,1.0,231.0,15.465798709814653,0.05869292528837433,0.00011110929133293798,0.0,28
sbmd,PANAS,self,self,with_guess,1.0,231.0,15.465798709814653,0.05869292528837433,0.00011110929133293798,0.0,28
sbmd,PANAS,self,self,without_guess,1.0,231.0,21.457536094748864,0.08103357266019995,6.042722354523358e-06,0.0,29
sbmd,PANAS,self,self,with_guess,1.0,231.0,21.457536094748864,0.08103357266019995,6.042722354523358e-06,0.0,29
sbmd,PANAS,self,self,without_guess,1.0,231.0,27.705194931883646,0.10322635747192888,3.2256495133395387e-07,0.0,30
sbmd,PANAS,self,self,with_guess,1.0,231.0,27.705194931883646,0.10322635747192888,3.2256495133395387e-07,0.0,30
sbmd,PANAS,self,self,without_guess,1.0,231.0,11.41179524143538,0.042950860666930546,0.0008563787648599544,0.0,31
sbmd,PANAS,self,self,with_guess,1.0,231.0,11.411795241435385,0.042950860666930546,0.0008563787648599517,0.0,31
sbmd,PANAS,self,self,without_guess,1.0,231.0,19.594211823310225,0.07420048407351365,1.477013831751778e-05,0.0,32
sbmd,PANAS,self,self,with_guess,1.0,231.0,19.594211823310225,0.07420048407351365,1.477013831751778e-05,0.0,32
sbmd,PANAS,self,self,without_guess,1.0,231.0,20.97996554893835,0.07929188142165189,7.591213843735402e-06,0.0,33
sbmd,PANAS,self,self,with_guess,1.0,231.0,20.979965548938356,0.07929188142165189,7.5912138437353895e-06,0.0,33
sbmd,PANAS,self,self,without_guess,1.0,231.0,20.87211538878511,0.0788976396140989,7.993265559715024e-06,0.0,34
sbmd,PANAS,self,self,with_guess,1.0,231.0,20.872115388785115,0.0788976396140989,7.993265559715009e-06,0.0,34
sbmd,PANAS,self,self,without_guess,1.0,231.0,33.25516137174792,0.12206066744093647,2.5769789822833048e-08,0.0,35
sbmd,PANAS,self,self,with_guess,1.0,231.0,33.25516137174792,0.12206066744093647,2.5769789822833048e-08,0.0,35
sbmd,PANAS,self,self,without_guess,1.0,231.0,27.499972195312047,0.10251441023479013,3.546229518201206e-07,0.0,36
sbmd,PANAS,self,self,with_guess,1.0,231.0,27.499972195312047,0.10251441023479013,3.546229518201206e-07,0.0,36
sbmd,PANAS,self,self,without_guess,1.0,231.0,18.55473567508119,0.07034422980430788,2.442445274013247e-05,0.0,37
sbmd,PANAS,self,self,with_guess,1.0,231.0,18.55473567508119,0.07034422980430788,2.442445274013247e-05,0.0,37
sbmd,PANAS,self,self,without_guess,1.0,231.0,42.561685343281255,0.15192802051620358,4.279491105343516e-10,0.0,38
sbmd,PANAS,self,self,with_guess,1.0,231.0,42.56168534328126,0.15192802051620358,4.279491105343516e-10,0.0,38
sbmd,PANAS,self,self,without_guess,1.0,231.0,17.1521988784383,0.06508988818733275,4.840151664629287e-05,0.0,39
sbmd,PANAS,self,self,with_guess,1.0,231.0,17.152198878438302,0.06508988818733275,4.8401516646292764e-05,0.0,39
sbmd,PANAS,self,self,without_guess,1.0,231.0,19.852366336248068,0.07515323300150945,1.3042199922979096e-05,0.0,40
sbmd,PANAS,self,self,with_guess,1.0,231.0,19.85236633624806,0.07515323300150945,1.3042199922979125e-05,0.0,40
sbmd,PANAS,self,self,without_guess,1.0,231.0,27.92651784266073,0.10399289368662845,2.912636407593226e-07,0.0,41
sbmd,PANAS,self,self,with_guess,1.0,231.0,27.926517842660736,0.10399289368662845,2.912636407593226e-07,0.0,41
sbmd,PANAS,self,self,without_guess,1.0,231.0,6.954855634407396,0.025025148650702156,0.00892669321213128,0.0,42
sbmd,PANAS,self,self,with_guess,1.0,231.0,6.954855634407396,0.025025148650702156,0.00892669321213128,0.0,42
sbmd,PANAS,self,self,without_guess,1.0,231.0,13.95148767018041,0.05287368447265439,0.0002363787082176789,0.0,43
sbmd,PANAS,self,self,with_guess,1.0,231.0,13.95148767018041,0.05287368447265439,0.0002363787082176789,0.0,43
sbmd,PANAS,self,self,without_guess,1.0,231.0,16.71336507022018,0.06343365876026053,6.002942263962208e-05,0.0,44
sbmd,PANAS,self,self,with_guess,1.0,231.0,16.71336507022018,0.06343365876026053,6.002942263962208e-05,0.0,44
sbmd,PANAS,self,self,without_guess,1.0,231.0,20.945280459866087,0.07916512833048794,7.71823172782925e-06,0.0,45
sbmd,PANAS,self,self,with_guess,1.0,231.0,20.94528045986609,0.07916512833048805,7.718231727829235e-06,0.0,45
sbmd,PANAS,self,self,without_guess,1.0,231.0,35.06608128974927,0.12803616727323808,1.1457541773365618e-08,0.0,46
sbmd,PANAS,self,self,with_guess,1.0,231.0,35.06608128974925,0.12803616727323797,1.145754177336575e-08,0.0,46
sbmd,PANAS,self,self,without_guess,1.0,231.0,20.300903159600043,0.07680395460951506,1.051158715334711e-05,0.0,47
sbmd,PANAS,self,self,with_guess,1.0,231.0,20.300903159600033,0.07680395460951506,1.0511587153347169e-05,0.0,47
