study,scale,guesser,respondent,contrast,type,est,se,df,t,p,p_adj,cgr,cgr_trial_id
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-9.068627,3.038788,229.0,-2.984291,0.003150528,0.01652201,0.07143,0
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-8.066667,4.549616,229.0,-1.773043,0.07755079,0.2890025,0.07143,0
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-3.166667,3.021906,229.0,-1.047904,0.2957877,0.7214146,0.07143,0
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-2.164706,4.560847,229.0,-0.474628,0.6355044,0.9646025,0.07143,0
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-6.823529,2.845663,229.0,-2.39787,0.01729267,0.08033489,0.07143,1
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-7.908772,4.260472,229.0,-1.856313,0.06469336,0.2499757,0.07143,1
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,0.3421053,2.829853,229.0,0.1208915,0.903883,0.9993669,0.07143,1
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-0.7431373,4.270989,229.0,-0.1739965,0.8620219,0.9981235,0.07143,1
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-9.519608,2.944141,229.0,-3.233408,0.001403585,0.00761435,0.07143,2
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-6.622807,4.407912,229.0,-1.502482,0.1343504,0.4376742,0.07143,2
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-4.377193,2.927784,229.0,-1.495053,0.1362773,0.4421464,0.07143,2
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-1.480392,4.418793,229.0,-0.3350219,0.7379153,0.9870129,0.07143,2
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-11.67157,2.938623,229.0,-3.971782,9.55656e-05,0.0005507845,0.07143,3
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-12.47018,4.39965,229.0,-2.834356,0.005002039,0.02558721,0.07143,3
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-4.846491,2.922297,229.0,-1.658453,0.09859515,0.3482097,0.07143,3
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-5.645098,4.410511,229.0,-1.279919,0.2018686,0.5766543,0.07143,3
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-8.75,2.881056,229.0,-3.037081,0.002665624,0.01409014,0.07143,4
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-6.740351,4.313463,229.0,-1.562631,0.1195202,0.4021102,0.07143,4
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-3.109649,2.86505,229.0,-1.085373,0.2788976,0.69883,0.07143,4
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-1.1,4.32411,229.0,-0.2543876,0.7994244,0.9942115,0.07143,4
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-11.14216,2.768633,229.0,-4.024425,7.763711e-05,0.000448652,0.07143,5
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-8.482456,4.145145,229.0,-2.046359,0.04186332,0.1742272,0.07143,5
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-6.267544,2.753252,229.0,-2.276415,0.02374521,0.1065899,0.07143,5
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-3.607843,4.155378,229.0,-0.8682347,0.3861748,0.8212481,0.07143,5
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-4.573529,2.771039,229.0,-1.650475,0.1002167,0.3525539,0.07143,6
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-3.285965,4.148747,229.0,-0.792038,0.4291582,0.8580208,0.07143,6
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,0.1359649,2.755644,229.0,0.04934053,0.9606909,0.9999568,0.07143,6
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,1.423529,4.158988,229.0,0.3422778,0.7324557,0.9861762,0.07143,6
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-9.95098,2.881925,229.0,-3.452893,0.000660498,0.003667857,0.07143,7
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-10.55088,4.314764,229.0,-2.445297,0.015228,0.07162808,0.07143,7
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-2.482456,2.865914,229.0,-0.8662004,0.3872869,0.8222788,0.07143,7
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-3.082353,4.325415,229.0,-0.7126144,0.4768099,0.8920269,0.07143,7
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-8.240196,2.820926,229.0,-2.921096,0.003836848,0.01992023,0.07143,8
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-3.042105,4.223437,229.0,-0.7202914,0.4720801,0.8889443,0.07143,8
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-3.907895,2.805254,229.0,-1.393063,0.1649516,0.5049758,0.07143,8
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,1.290196,4.233862,229.0,0.3047326,0.7608465,0.9901549,0.07143,8
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-9.04902,2.61752,229.0,-3.457097,0.0006507874,0.003615364,0.07143,9
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-10.89825,3.918901,229.0,-2.780944,0.00587129,0.02974147,0.07143,9
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-4.701754,2.602978,229.0,-1.806298,0.07218463,0.2729987,0.07143,9
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-6.55098,3.928575,229.0,-1.667521,0.0967778,0.3433055,0.07143,9
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-1.205882,2.880512,229.0,-0.4186347,0.6758755,0.9752526,0.07143,10
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-5.324561,4.312648,229.0,-1.234638,0.2182305,0.6054883,0.07143,10
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,3.657895,2.864509,229.0,1.276971,0.2029058,0.5785329,0.07143,10
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-0.4607843,4.323294,229.0,-0.1065818,0.9152141,0.9995656,0.07143,10
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-5.627451,2.940743,229.0,-1.913615,0.05691619,0.2251728,0.07143,11
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-1.938596,4.402825,229.0,-0.4403074,0.6601298,0.9714064,0.07143,11
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-0.7280702,2.924405,229.0,-0.2489635,0.8036122,0.9945684,0.07143,11
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,2.960784,4.413693,229.0,0.6708179,0.5030126,0.9080151,0.07143,11
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-10.64706,2.888032,229.0,-3.686614,0.0002837957,0.00160692,0.07143,12
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-5.433333,4.323907,229.0,-1.25658,0.2101862,0.5915236,0.07143,12
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-4.833333,2.871987,229.0,-1.682923,0.09375285,0.3350587,0.07143,12
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,0.3803922,4.334581,229.0,0.08775754,0.9301461,0.9997572,0.07143,12
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-6.328431,2.63928,229.0,-2.397787,0.01729648,0.0803508,0.07143,13
