study,scale,guesser,respondent,strata,est,se,df,lower_CI,upper_CI,cgr,cgr_trial_id
sbmd,PANAS,self,self,PLPL,9.166667,2.874406,229.0,3.503002,14.83033,0.07143,0
sbmd,PANAS,self,self,ACPL,12.33333,0.9325805,229.0,10.4958,14.17087,0.07143,0
sbmd,PANAS,self,self,PLAC,18.23529,0.9859131,229.0,16.29267,20.17791,0.07143,0
sbmd,PANAS,self,self,ACAC,20.4,4.453011,229.0,11.62589,29.17411,0.07143,0
sbmd,PANAS,self,self,PLPL,11.83333,2.691727,229.0,6.529615,17.13705,0.07143,1
sbmd,PANAS,self,self,ACPL,11.49123,0.8733117,229.0,9.770475,13.21198,0.07143,1
sbmd,PANAS,self,self,PLAC,18.65686,0.9232549,229.0,16.8377,20.47602,0.07143,1
sbmd,PANAS,self,self,ACAC,19.4,4.170006,229.0,11.18351,27.61649,0.07143,1
sbmd,PANAS,self,self,PLPL,8.0,2.784878,229.0,2.512739,13.48726,0.07143,2
sbmd,PANAS,self,self,ACPL,12.37719,0.9035338,229.0,10.59689,14.1575,0.07143,2
sbmd,PANAS,self,self,PLAC,17.51961,0.9552053,229.0,15.63749,19.40172,0.07143,2
sbmd,PANAS,self,self,ACAC,19.0,4.314315,229.0,10.49917,27.50083,0.07143,2
sbmd,PANAS,self,self,PLPL,7.083333,2.779659,229.0,1.606357,12.56031,0.07143,3
sbmd,PANAS,self,self,ACPL,11.92982,0.9018403,229.0,10.15286,13.70679,0.07143,3
sbmd,PANAS,self,self,PLAC,18.7549,0.953415,229.0,16.87631,20.63349,0.07143,3
sbmd,PANAS,self,self,ACAC,24.4,4.306229,229.0,15.9151,32.8849,0.07143,3
sbmd,PANAS,self,self,PLPL,9.75,2.725206,229.0,4.380316,15.11968,0.07143,4
sbmd,PANAS,self,self,ACPL,12.85965,0.8841736,229.0,11.11749,14.6018,0.07143,4
sbmd,PANAS,self,self,PLAC,18.5,0.934738,229.0,16.65821,20.34179,0.07143,4
sbmd,PANAS,self,self,ACAC,19.6,4.221871,229.0,11.28132,27.91868,0.07143,4
