study,scale,guesser,respondent,model_type,component,est,se,t,p,cgr,cgr_trial_id
sbmd,CPS,self,self,without_guess,intercept,-0.3958333333333334,0.12587975811052188,-3.1445352237314714,0.0019383559779299784,0.0,0
sbmd,CPS,self,self,without_guess,conditionAC,0.31891025641025644,0.18044963453256418,1.7673089626164107,0.07882518741693134,0.0,0
sbmd,CPS,self,self,with_guess,intercept,-0.3958333333333333,0.12587975811052188,-3.1445352237314705,0.0019383559779299867,0.0,0
sbmd,CPS,self,self,with_guess,conditionAC,0.3189102564102565,0.1804496345325642,1.7673089626164107,0.07882518741693134,0.0,0
sbmd,CPS,self,self,without_guess,intercept,-0.03125000000000003,0.11851030159338083,-0.26369015671921503,0.7923121662390104,0.0,1
sbmd,CPS,self,self,without_guess,conditionAC,-0.13358516483516478,0.1698854599966221,-0.7863248852363286,0.4326832262095135,0.0,1
sbmd,CPS,self,self,with_guess,intercept,-0.03125000000000006,0.11851030159338083,-0.2636901567192153,0.7923121662390102,0.0,1
sbmd,CPS,self,self,with_guess,conditionAC,-0.13358516483516478,0.1698854599966221,-0.7863248852363286,0.4326832262095135,0.0,1
sbmd,CPS,self,self,without_guess,intercept,-0.14583333333333337,0.11567191658411424,-1.2607496930967368,0.20898675225983063,0.0,2
sbmd,CPS,self,self,without_guess,conditionAC,-0.11790293040293033,0.16581661250856794,-0.7110441385771172,0.47795239778108634,0.0,2
sbmd,CPS,self,self,with_guess,intercept,-0.1458333333333334,0.11567191658411424,-1.260749693096737,0.20898675225983054,0.0,2
sbmd,CPS,self,self,with_guess,conditionAC,-0.11790293040293037,0.16581661250856794,-0.7110441385771175,0.4779523977810861,0.0,2
sbmd,CPS,self,self,without_guess,intercept,-0.06250000000000007,0.1272842836234657,-0.49102684338381103,0.623989438059473,0.0,3
sbmd,CPS,self,self,without_guess,conditionAC,-0.03640109890109878,0.18246303302733927,-0.19949848633528217,0.8420919317613982,0.0,3
sbmd,CPS,self,self,with_guess,intercept,-0.06250000000000007,0.1272842836234657,-0.49102684338381103,0.623989438059473,0.0,3
sbmd,CPS,self,self,with_guess,conditionAC,-0.03640109890109878,0.18246303302733927,-0.19949848633528217,0.8420919317613982,0.0,3
sbmd,CPS,self,self,without_guess,intercept,-0.35416666666666663,0.11695925609252815,-3.028120035121293,0.002812239580566234,0.0,4
sbmd,CPS,self,self,without_guess,conditionAC,0.05746336996336989,0.16766202393372068,0.3427333668958096,0.7321881640576487,0.0,4
sbmd,CPS,self,self,with_guess,intercept,-0.35416666666666663,0.11695925609252815,-3.028120035121293,0.002812239580566234,0.0,4
sbmd,CPS,self,self,with_guess,conditionAC,0.05746336996336989,0.16766202393372068,0.3427333668958096,0.7321881640576487,0.0,4
sbmd,CPS,self,self,without_guess,intercept,-0.37500000000000006,0.13060874849582313,-2.8711706093102376,0.004566612669789228,0.0,5
sbmd,CPS,self,self,without_guess,conditionAC,0.29807692307692313,0.1872286798655429,1.5920473470783707,0.11308129393241323,0.0,5
sbmd,CPS,self,self,with_guess,intercept,-0.37500000000000006,0.13060874849582313,-2.8711706093102376,0.004566612669789228,0.0,5
sbmd,CPS,self,self,with_guess,conditionAC,0.29807692307692313,0.1872286798655429,1.5920473470783707,0.11308129393241323,0.0,5
sbmd,CPS,self,self,without_guess,intercept,-0.2083333333333334,0.13227361082736086,-1.5750181160869885,0.11696080185325324,0.0,6
sbmd,CPS,self,self,without_guess,conditionAC,0.09844322344322355,0.18961527326056077,0.5191734914093513,0.60426029775238,0.0,6
sbmd,CPS,self,self,with_guess,intercept,-0.20833333333333343,0.13227361082736086,-1.5750181160869887,0.11696080185325324,0.0,6
sbmd,CPS,self,self,with_guess,conditionAC,0.09844322344322362,0.18961527326056077,0.5191734914093517,0.6042602977523797,0.0,6
