study,scale,guesser,respondent,model_type,df1,df2,f,adjr2,p,cgr,cgr_trial_id
sbmd,CPS,self,self,without_guess,1.0,185.0,3.123380969344295,0.011287172059119666,0.0788251874169313,0.0,0
sbmd,CPS,self,self,with_guess,1.0,185.0,3.1233809693442915,0.011287172059119555,0.07882518741693148,0.0,0
sbmd,CPS,self,self,without_guess,1.0,185.0,0.6183068251419261,-0.0020563336741221683,0.43268322620951305,0.0,1
sbmd,CPS,self,self,with_guess,1.0,185.0,0.6183068251419261,-0.0020563336741221683,0.43268322620951305,0.0,1
sbmd,CPS,self,self,without_guess,1.0,185.0,0.5055837670048746,-0.0026652363931864986,0.47795239778108634,0.0,2
sbmd,CPS,self,self,with_guess,1.0,185.0,0.5055837670048757,-0.0026652363931864986,0.47795239778108567,0.0,2
sbmd,CPS,self,self,without_guess,1.0,185.0,0.03979964605006905,-0.00518915582370183,0.8420919317613977,0.0,3
sbmd,CPS,self,self,with_guess,1.0,185.0,0.03979964605006905,-0.00518915582370183,0.8420919317613977,0.0,3
sbmd,CPS,self,self,without_guess,1.0,185.0,0.11746616078373784,-0.004767426097166405,0.7321881640576485,0.0,4
sbmd,CPS,self,self,with_guess,1.0,185.0,0.11746616078373784,-0.004767426097166405,0.7321881640576485,0.0,4
sbmd,CPS,self,self,without_guess,1.0,185.0,2.534614755339276,0.008183101329540476,0.11308129393241335,0.0,5
sbmd,CPS,self,self,with_guess,1.0,185.0,2.534614755339276,0.008183101329540476,0.11308129393241335,0.0,5
sbmd,CPS,self,self,without_guess,1.0,185.0,0.26954111418217547,-0.00394268200495862,0.6042602977523801,0.0,6
sbmd,CPS,self,self,with_guess,1.0,185.0,0.2695411141821754,-0.00394268200495862,0.6042602977523801,0.0,6
sbmd,CPS,self,self,without_guess,1.0,185.0,2.2108251871530724,0.006467709257424792,0.13874767260905904,0.0,7
sbmd,CPS,self,self,with_guess,1.0,185.0,2.2108251871530724,0.006467709257424792,0.13874767260905904,0.0,7
sbmd,CPS,self,self,without_guess,1.0,185.0,0.16928728563565965,-0.004486233794716243,0.6812222557024601,0.0,8
