study,scale,guesser,respondent,model_type,component,est,se,t,p,cgr,cgr_trial_id
sbmd,creativity,self,self,without_guess,intercept,65.96363636363635,1.5890713056994399,41.51080956974554,4.348581186276466e-109,0.0,0
sbmd,creativity,self,self,without_guess,conditionAC,-16.695343680709534,2.1871007541840983,-7.633550328566258,5.983309151533138e-13,0.0,0
sbmd,creativity,self,self,with_guess,intercept,65.96363636363635,1.5890713056994399,41.51080956974554,4.348581186276466e-109,0.0,0
sbmd,creativity,self,self,with_guess,conditionAC,-16.695343680709534,2.1871007541840983,-7.633550328566258,5.983309151533138e-13,0.0,0
sbmd,creativity,self,self,without_guess,intercept,64.95454545454547,1.3465296900469315,48.23847994935898,1.3355645909864783e-122,0.0,1
sbmd,creativity,self,self,without_guess,conditionAC,-11.07649667405765,1.8532812782348143,-5.976694851527139,8.560713083512877e-09,0.0,1
sbmd,creativity,self,self,with_guess,intercept,64.95454545454547,1.3465296900469315,48.23847994935898,1.3355645909864783e-122,0.0,1
sbmd,creativity,self,self,with_guess,conditionAC,-11.07649667405765,1.8532812782348143,-5.976694851527139,8.560713083512877e-09,0.0,1
sbmd,creativity,self,self,without_guess,intercept,66.77272727272728,1.5605763976096263,42.78722103897299,8.876636194385167e-112,0.0,2
sbmd,creativity,self,self,without_guess,conditionAC,-14.536954915003694,2.147882101912099,-6.768041365986769,1.064610295226944e-10,0.0,2
sbmd,creativity,self,self,with_guess,intercept,66.77272727272728,1.5605763976096263,42.78722103897299,8.876636194385167e-112,0.0,2
sbmd,creativity,self,self,with_guess,conditionAC,-14.536954915003694,2.147882101912099,-6.768041365986769,1.064610295226944e-10,0.0,2
sbmd,creativity,self,self,without_guess,intercept,62.82727272727273,1.4601190744700392,43.0288692379944,2.7923702652484374e-112,0.0,3
sbmd,creativity,self,self,without_guess,conditionAC,-14.046784922394677,2.0096187738827758,-6.9897759241445305,2.9263192845278224e-11,0.0,3
sbmd,creativity,self,self,with_guess,intercept,62.82727272727273,1.4601190744700392,43.0288692379944,2.7923702652484374e-112,0.0,3
sbmd,creativity,self,self,with_guess,conditionAC,-14.046784922394677,2.0096187738827758,-6.9897759241445305,2.9263192845278224e-11,0.0,3
sbmd,creativity,self,self,without_guess,intercept,69.1909090909091,1.6257623292437968,42.55905543283956,2.6578286133308165e-111,0.0,4
sbmd,creativity,self,self,without_guess,conditionAC,-20.881966001478194,2.2376000395074387,-9.33230498426114,8.881665070779472e-18,0.0,4
sbmd,creativity,self,self,with_guess,intercept,69.1909090909091,1.6257623292437968,42.55905543283956,2.6578286133308165e-111,0.0,4
sbmd,creativity,self,self,with_guess,conditionAC,-20.881966001478194,2.2376000395074387,-9.33230498426114,8.881665070779472e-18,0.0,4
sbmd,creativity,self,self,without_guess,intercept,62.854545454545466,1.7147032355590448,36.65622374244427,2.9874752856214254e-98,0.0,5
sbmd,creativity,self,self,without_guess,conditionAC,-13.862675535846265,2.360012874338834,-5.8739830136434925,1.4726781036815089e-08,0.0,5
sbmd,creativity,self,self,with_guess,intercept,62.854545454545466,1.7147032355590448,36.65622374244427,2.9874752856214254e-98,0.0,5
sbmd,creativity,self,self,with_guess,conditionAC,-13.862675535846265,2.360012874338834,-5.8739830136434925,1.4726781036815089e-08,0.0,5
sbmd,creativity,self,self,without_guess,intercept,62.27272727272729,1.5238476699012753,40.865454272579434,1.0535989556949918e-107,0.0,6
sbmd,creativity,self,self,without_guess,conditionAC,-14.654841093865482,2.097330922878758,-6.98737663856618,2.9679078065954457e-11,0.0,6
sbmd,creativity,self,self,with_guess,intercept,62.27272727272728,1.5238476699012753,40.865454272579434,1.0535989556949918e-107,0.0,6
sbmd,creativity,self,self,with_guess,conditionAC,-14.654841093865484,2.097330922878758,-6.987376638566181,2.967907806595424e-11,0.0,6
sbmd,creativity,self,self,without_guess,intercept,67.21818181818183,1.5292422528370893,43.95522141340062,3.472923189669163e-114,0.0,7
sbmd,creativity,self,self,without_guess,conditionAC,-18.941759053954176,2.1047556975664077,-8.999504824172849,8.533232446786769e-17,0.0,7
sbmd,creativity,self,self,with_guess,intercept,67.21818181818183,1.5292422528370893,43.95522141340062,3.472923189669163e-114,0.0,7
sbmd,creativity,self,self,with_guess,conditionAC,-18.941759053954172,2.1047556975664077,-8.999504824172847,8.533232446786956e-17,0.0,7
sbmd,creativity,self,self,without_guess,intercept,64.42727272727274,1.562133886562448,41.24311832774341,1.6238975290995802e-108,0.0,8
sbmd,creativity,self,self,without_guess,conditionAC,-13.158980044345897,2.150025734643451,-6.120382576038382,3.965189029407024e-09,0.0,8
sbmd,creativity,self,self,with_guess,intercept,64.42727272727274,1.562133886562448,41.24311832774341,1.6238975290995802e-108,0.0,8
sbmd,creativity,self,self,with_guess,conditionAC,-13.158980044345897,2.150025734643451,-6.120382576038382,3.965189029407024e-09,0.0,8
sbmd,creativity,self,self,without_guess,intercept,63.59090909090911,1.4687768016187843,43.2951480584549,7.853100138807756e-113,0.0,9
sbmd,creativity,self,self,without_guess,conditionAC,-10.225055432372505,2.0215347410949622,-5.058065649089025,8.629787593953616e-07,0.0,9
sbmd,creativity,self,self,with_guess,intercept,63.59090909090911,1.4687768016187843,43.2951480584549,7.853100138807756e-113,0.0,9
sbmd,creativity,self,self,with_guess,conditionAC,-10.225055432372505,2.0215347410949622,-5.058065649089025,8.629787593953616e-07,0.0,9
sbmd,creativity,self,self,without_guess,intercept,62.06363636363638,1.4201628028661677,43.70177576710203,1.1450325653696485e-113,0.0,10
sbmd,creativity,self,self,without_guess,conditionAC,-9.933555062823354,1.9546254004288717,-5.082076115783513,7.703878537708619e-07,0.0,10
sbmd,creativity,self,self,with_guess,intercept,62.06363636363637,1.4201628028661675,43.70177576710203,1.1450325653696485e-113,0.0,10
sbmd,creativity,self,self,with_guess,conditionAC,-9.933555062823356,1.9546254004288715,-5.082076115783514,7.703878537708588e-07,0.0,10
sbmd,creativity,self,self,without_guess,intercept,63.32727272727274,1.4621202778660476,43.31194477358482,7.250658920103004e-113,0.0,11
sbmd,creativity,self,self,without_guess,conditionAC,-14.205321507760532,2.0123731080910567,-7.058989931164278,1.945219923137614e-11,0.0,11
sbmd,creativity,self,self,with_guess,intercept,63.32727272727274,1.4621202778660476,43.31194477358482,7.250658920103004e-113,0.0,11
sbmd,creativity,self,self,with_guess,conditionAC,-14.205321507760532,2.0123731080910567,-7.058989931164278,1.945219923137614e-11,0.0,11
sbmd,creativity,self,self,without_guess,intercept,64.08181818181818,1.4347037409693482,44.665540593434095,1.2619153680082788e-115,0.0,12
sbmd,creativity,self,self,without_guess,conditionAC,-12.463932002956394,1.9746386601095078,-6.312006472244993,1.3939092861871014e-09,0.0,12
sbmd,creativity,self,self,with_guess,intercept,64.08181818181818,1.4347037409693482,44.665540593434095,1.2619153680082788e-115,0.0,12
sbmd,creativity,self,self,with_guess,conditionAC,-12.463932002956394,1.9746386601095078,-6.312006472244993,1.3939092861871014e-09,0.0,12
sbmd,creativity,self,self,without_guess,intercept,63.7909090909091,1.536684855620787,41.51203082244145,4.322584843404538e-109,0.0,13
sbmd,creativity,self,self,without_guess,conditionAC,-13.799039172209907,2.114999241769198,-6.5243707419332235,4.2689232272576423e-10,0.0,13
sbmd,creativity,self,self,with_guess,intercept,63.7909090909091,1.536684855620787,41.51203082244145,4.322584843404538e-109,0.0,13
sbmd,creativity,self,self,with_guess,conditionAC,-13.799039172209907,2.114999241769198,-6.5243707419332235,4.2689232272576423e-10,0.0,13
sbmd,creativity,self,self,without_guess,intercept,64.32727272727273,1.3739940095080156,46.817724300200055,7.041645015306861e-120,0.0,14
sbmd,creativity,self,self,without_guess,conditionAC,-13.888248337028825,1.8910814912215133,-7.344077133375113,3.527059401257726e-12,0.0,14
sbmd,creativity,self,self,with_guess,intercept,64.32727272727273,1.3739940095080156,46.817724300200055,7.041645015306861e-120,0.0,14
sbmd,creativity,self,self,with_guess,conditionAC,-13.888248337028827,1.8910814912215133,-7.344077133375114,3.5270594012576996e-12,0.0,14
sbmd,creativity,self,self,without_guess,intercept,65.34545454545456,1.5433931510657404,42.33882630639663,7.69341220854356e-111,0.0,15
sbmd,creativity,self,self,without_guess,conditionAC,-16.012121212121208,2.1242321301703195,-7.53783966672106,1.0803958053815829e-12,0.0,15
sbmd,creativity,self,self,with_guess,intercept,65.34545454545456,1.5433931510657404,42.33882630639663,7.69341220854356e-111,0.0,15
sbmd,creativity,self,self,with_guess,conditionAC,-16.012121212121208,2.1242321301703195,-7.53783966672106,1.0803958053815829e-12,0.0,15
sbmd,creativity,self,self,without_guess,intercept,61.645454545454555,1.5363049015475356,40.12579435459619,4.264009611683314e-106,0.0,16
sbmd,creativity,self,self,without_guess,conditionAC,-13.57228381374723,2.1144762961737533,-6.418744839233682,7.714728330715343e-10,0.0,16
sbmd,creativity,self,self,with_guess,intercept,61.645454545454555,1.5363049015475356,40.12579435459619,4.264009611683314e-106,0.0,16
sbmd,creativity,self,self,with_guess,conditionAC,-13.57228381374723,2.1144762961737533,-6.418744839233682,7.714728330715343e-10,0.0,16
sbmd,creativity,self,self,without_guess,intercept,65.03636363636365,1.4557684240628908,44.674937690195435,1.2081090937415432e-115,0.0,17
sbmd,creativity,self,self,without_guess,conditionAC,-14.499778270509974,2.0036308042098367,-7.236751521310429,6.739697057946026e-12,0.0,17
sbmd,creativity,self,self,with_guess,intercept,65.03636363636365,1.4557684240628908,44.674937690195435,1.2081090937415432e-115,0.0,17
sbmd,creativity,self,self,with_guess,conditionAC,-14.499778270509976,2.0036308042098367,-7.23675152131043,6.739697057945975e-12,0.0,17
sbmd,creativity,self,self,without_guess,intercept,62.73636363636364,1.431767257887866,43.817431423115465,6.638791022432507e-114,0.0,18
sbmd,creativity,self,self,without_guess,conditionAC,-11.58189209164819,1.9705970640281214,-5.877351744335548,1.4468558772075844e-08,0.0,18
sbmd,creativity,self,self,with_guess,intercept,62.73636363636364,1.431767257887866,43.817431423115465,6.638791022432507e-114,0.0,18
sbmd,creativity,self,self,with_guess,conditionAC,-11.58189209164819,1.9705970640281214,-5.877351744335548,1.4468558772075844e-08,0.0,18
sbmd,creativity,self,self,without_guess,intercept,65.21818181818183,1.552054443569249,42.020550302475236,3.6016531567745396e-110,0.0,19
sbmd,creativity,self,self,without_guess,conditionAC,-16.03118994826312,2.136153004519186,-7.504701168103585,1.324370796975062e-12,0.0,19
sbmd,creativity,self,self,with_guess,intercept,65.21818181818183,1.552054443569249,42.020550302475236,3.6016531567745396e-110,0.0,19
sbmd,creativity,self,self,with_guess,conditionAC,-16.03118994826312,2.136153004519186,-7.504701168103585,1.324370796975062e-12,0.0,19
sbmd,creativity,self,self,without_guess,intercept,62.963636363636375,1.6924924447359122,37.201723741497055,1.6110738289467415e-99,0.0,20
sbmd,creativity,self,self,without_guess,conditionAC,-13.662823355506283,2.3294432975136354,-5.86527406358828,1.541540512138143e-08,0.0,20
sbmd,creativity,self,self,with_guess,intercept,62.963636363636375,1.6924924447359122,37.201723741497055,1.6110738289467415e-99,0.0,20
sbmd,creativity,self,self,with_guess,conditionAC,-13.662823355506287,2.3294432975136354,-5.865274063588282,1.5415405121381224e-08,0.0,20
sbmd,creativity,self,self,without_guess,intercept,62.31818181818183,1.7101363373735552,36.440475800830434,9.562585345756211e-98,0.0,21
sbmd,creativity,self,self,without_guess,conditionAC,-14.171840354767182,2.353727274422744,-6.0210205781988275,6.760439594646853e-09,0.0,21
sbmd,creativity,self,self,with_guess,intercept,62.31818181818183,1.7101363373735552,36.440475800830434,9.562585345756211e-98,0.0,21
sbmd,creativity,self,self,with_guess,conditionAC,-14.171840354767182,2.353727274422744,-6.0210205781988275,6.760439594646853e-09,0.0,21
sbmd,creativity,self,self,without_guess,intercept,66.23636363636365,1.40531344825947,47.132804228408766,1.730887599611268e-120,0.0,22
sbmd,creativity,self,self,without_guess,conditionAC,-17.024981522542497,1.9341876550973867,-8.802135344869258,3.2073965111706893e-16,0.0,22
sbmd,creativity,self,self,with_guess,intercept,66.23636363636365,1.40531344825947,47.132804228408766,1.730887599611268e-120,0.0,22
sbmd,creativity,self,self,with_guess,conditionAC,-17.024981522542497,1.9341876550973867,-8.802135344869258,3.2073965111706893e-16,0.0,22
sbmd,creativity,self,self,without_guess,intercept,63.436363636363645,1.5756355090560996,40.26081112780064,2.1617040146673738e-106,0.0,23
sbmd,creativity,self,self,without_guess,conditionAC,-14.647745750184772,2.168608543755077,-6.754444361277538,1.1513710842972551e-10,0.0,23
sbmd,creativity,self,self,with_guess,intercept,63.43636363636365,1.5756355090560996,40.26081112780064,2.1617040146673738e-106,0.0,23
sbmd,creativity,self,self,with_guess,conditionAC,-14.647745750184773,2.168608543755077,-6.754444361277539,1.1513710842972551e-10,0.0,23
sbmd,creativity,self,self,without_guess,intercept,62.12727272727273,1.5997844187748218,38.83477798518144,3.0822642271767276e-103,0.0,24
sbmd,creativity,self,self,without_guess,conditionAC,-10.541906873614188,2.201845629132623,-4.787759293446462,3.0126625859966047e-06,0.0,24
sbmd,creativity,self,self,with_guess,intercept,62.12727272727273,1.5997844187748218,38.83477798518144,3.0822642271767276e-103,0.0,24
sbmd,creativity,self,self,with_guess,conditionAC,-10.541906873614192,2.201845629132623,-4.787759293446464,3.0126625859965746e-06,0.0,24
sbmd,creativity,self,self,without_guess,intercept,63.68181818181818,1.6243310690286117,39.20494989971559,4.5916997337608726e-104,0.0,25
sbmd,creativity,self,self,without_guess,conditionAC,-13.933850702143385,2.2356301403060383,-6.232627862243779,2.154989329572059e-09,0.0,25
sbmd,creativity,self,self,with_guess,intercept,63.68181818181819,1.6243310690286117,39.204949899715594,4.591699733760612e-104,0.0,25
sbmd,creativity,self,self,with_guess,conditionAC,-13.933850702143381,2.2356301403060383,-6.232627862243778,2.154989329572059e-09,0.0,25
sbmd,creativity,self,self,without_guess,intercept,63.05454545454546,1.5923072573065116,39.59948380892656,6.1234113376171564e-105,0.0,26
sbmd,creativity,self,self,without_guess,conditionAC,-11.851293422025128,2.191554520465665,-5.407710970159641,1.5904641251049981e-07,0.0,26
sbmd,creativity,self,self,with_guess,intercept,63.05454545454546,1.5923072573065116,39.59948380892656,6.1234113376171564e-105,0.0,26
sbmd,creativity,self,self,with_guess,conditionAC,-11.85129342202513,2.191554520465665,-5.407710970159642,1.5904641251049918e-07,0.0,26
sbmd,creativity,self,self,without_guess,intercept,65.70909090909092,1.3882365545400337,47.332776747736915,7.131986913849027e-121,0.0,27
sbmd,creativity,self,self,without_guess,conditionAC,-16.107464892830745,1.9106840608918003,-8.43020843818244,3.741414794399658e-15,0.0,27
