study,scale,guesser,respondent,model_type,df1,df2,f,adjr2,p,cgr,cgr_trial_id
sbmd,creativity,self,self,without_guess,1.0,231.0,58.27109061875408,0.1979841486968179,5.983309151533004e-13,0.0,0
sbmd,creativity,self,self,with_guess,1.0,231.0,58.27109061875408,0.1979841486968179,5.983309151533004e-13,0.0,0
sbmd,creativity,self,self,without_guess,1.0,231.0,35.72088134827102,0.1301768394463806,8.560713083512814e-09,0.0,1
sbmd,creativity,self,self,with_guess,1.0,231.0,35.72088134827102,0.1301768394463806,8.560713083512814e-09,0.0,1
sbmd,creativity,self,self,without_guess,1.0,231.0,45.806383931708034,0.16186904107949474,1.064610295226944e-10,0.0,2
sbmd,creativity,self,self,with_guess,1.0,231.0,45.80638393170803,0.16186904107949474,1.064610295226944e-10,0.0,2
sbmd,creativity,self,self,without_guess,1.0,231.0,48.85696746975053,0.17100509557591548,2.9263192845278224e-11,0.0,3
sbmd,creativity,self,self,with_guess,1.0,231.0,48.85696746975053,0.17100509557591548,2.9263192845278224e-11,0.0,3
sbmd,creativity,self,self,without_guess,1.0,231.0,87.0919163192653,0.27065106625613145,8.881665070779601e-18,0.0,4
sbmd,creativity,self,self,with_guess,1.0,231.0,87.0919163192653,0.27065106625613145,8.881665070779601e-18,0.0,4
sbmd,creativity,self,self,without_guess,1.0,231.0,34.50367644457228,0.12618912435876073,1.4726781036815147e-08,0.0,5
sbmd,creativity,self,self,with_guess,1.0,231.0,34.50367644457228,0.12618912435876073,1.4726781036815147e-08,0.0,5
sbmd,creativity,self,self,without_guess,1.0,231.0,48.82343228918043,0.17090574544792891,2.967907806595424e-11,0.0,6
sbmd,creativity,self,self,with_guess,1.0,231.0,48.823432289180424,0.17090574544792891,2.967907806595424e-11,0.0,6
sbmd,creativity,self,self,without_guess,1.0,231.0,80.99108708031038,0.25638901363781497,8.533232446786769e-17,0.0,7
sbmd,creativity,self,self,with_guess,1.0,231.0,80.99108708031036,0.25638901363781497,8.533232446786829e-17,0.0,7
sbmd,creativity,self,self,without_guess,1.0,231.0,37.4590828770742,0.13580871426044694,3.9651890294070534e-09,0.0,8
sbmd,creativity,self,self,with_guess,1.0,231.0,37.4590828770742,0.13580871426044694,3.9651890294070534e-09,0.0,8
sbmd,creativity,self,self,without_guess,1.0,231.0,25.584028110494405,0.09581277638960306,8.629787593953515e-07,0.0,9
sbmd,creativity,self,self,with_guess,1.0,231.0,25.584028110494405,0.09581277638960306,8.629787593953515e-07,0.0,9
sbmd,creativity,self,self,without_guess,1.0,231.0,25.82749764661724,0.09666993555642833,7.703878537708619e-07,0.0,10
sbmd,creativity,self,self,with_guess,1.0,231.0,25.827497646617243,0.09666993555642833,7.703878537708619e-07,0.0,10
sbmd,creativity,self,self,without_guess,1.0,231.0,49.82933884827863,0.17387548982073864,1.9452199231376147e-11,0.0,11
sbmd,creativity,self,self,with_guess,1.0,231.0,49.82933884827863,0.17387548982073864,1.9452199231376147e-11,0.0,11
sbmd,creativity,self,self,without_guess,1.0,231.0,39.84142570566266,0.14341020988374809,1.393909286187112e-09,0.0,12
sbmd,creativity,self,self,with_guess,1.0,231.0,39.84142570566266,0.14341020988374809,1.393909286187112e-09,0.0,12
sbmd,creativity,self,self,without_guess,1.0,231.0,42.56741357819424,0.1519457783165865,4.268923227257737e-10,0.0,13
sbmd,creativity,self,self,with_guess,1.0,231.0,42.56741357819424,0.1519457783165865,4.268923227257737e-10,0.0,13
